attribute,sakey,svkey,1903,2001,2002,2003,2004,2005,2006,2101,2102,2103,2104,2105,average_imputed_distribution,round
380265_380267,380265,380267,0.4908411445077777,0.42610862495272067,0.48987661743373473,0.48204631823260485,0.5231226724129876,0.4351818752792019,0.46994097214121866,0.4821962182721266,0.502061629604566,0.4045481097898291,0.5003369296280223,0.42943427753983066,0.4696412824828851,0
368760,368760,368762,0.2900969646750342,0.27531253049102583,0.36555180923323954,0.35002899764336,0.30548066823733894,0.28086032119902365,0.375300214086394,0.39138687235016073,0.29901279357732613,0.2688267707463354,0.24402174361769088,0.2350173418032247,0.30674141897167956,0
381618_381620,381618,381620,0.430846131768242,0.3938206687439394,0.47442135480459774,0.4885021178911222,0.49468868472042415,0.5215314993822188,0.39688163529698256,0.4714112658719669,0.5569933489618746,0.5318901913023432,0.5315396653764045,0.5195175873783878,0.48433701262487533,0
397729,397729,397731,0.9507593409746853,0.970574809211907,0.991154974869203,0.9779236407570455,0.9732874957121876,0.9529003069073924,0.9751661109106526,0.9771540078175118,0.9740184892640429,0.9771027524146351,0.929723363951797,0.9727941345348073,0.9685466189438224,0
396643,396643,396645,0.05105282413278326,0.06016049157288272,0.05969674309787112,0.05178805595140737,0.05002535751712206,0.03845507081905334,0.04573288198334777,0.04765404129317405,0.060538545517862814,0.0517405448692109,0.054066016953477763,0.05580109064849352,0.05222597202972389,0
383481,383481,383484,0.2729629253741548,0.15034010006483495,0.10643444136167642,0.11279929678345685,0.12375290008701958,0.12104077705161961,0.14671306526225883,0.17587475397792346,0.16035232974277744,0.14433759928209186,0.12971535283599367,0.12474741462565768,0.14742257970412212,0
389368_389370,389368,389370,0.38552074732000924,0.3745270997090779,0.3626502933167468,0.33143347215551994,0.34920320535262034,0.3708110174218957,0.3446528484530542,0.366519616295308,0.36346438699887595,0.3940323523236253,0.37383647724293717,0.3570605109818299,0.36447600229762506,0
388799_263879,388799,263879,0.8414880038437365,0.7829829844922663,0.8661205111554413,0.8262108284182257,0.8489239463324354,0.7710768226004363,0.8178538412761229,0.873492979060773,0.8791324115760697,0.7709972234467404,0.8346173197090492,0.7748497121477298,0.8239788820049189,0
397150_397154,397150,397154,0.01733345920979108,0.013052419554039166,0.007659480482172637,0.01964055585188769,0.010500674546388322,0.013368526406721795,0.01699717506232671,0.008569421489715246,0.02627664746275528,0.02541669299966379,0.04202201133030149,0.018738959024590097,0.01829800195169611,0
283942_283916,283942,283916,0.0698835209245491,0.037909837018376705,0.03809370110196511,0.039364817145295765,0.04161857588989638,0.03448726367262723,0.03560169958305197,0.04701044227160961,0.03442755744259335,0.05242023377017424,0.05286156697147208,0.053178712807958904,0.04473816071663087,0
381596_381601,381596,381601,0.20188073508231122,0.13965963516437174,0.11506930375015592,0.1546506374797024,0.13254748013332146,0.1382019890749237,0.14579372733092374,0.16619198292306608,0.11693767532031345,0.10143769667678683,0.08669859243568505,0.0955913663441493,0.1328884018096426,0
387263_387266,387263,387266,0.26008033684308435,0.2673530855524194,0.2682760340112208,0.23304026296041228,0.2540486541225588,0.2617468793973347,0.2539449688853249,0.22875577352638501,0.3088562074245755,0.24342875829910612,0.24267597806017965,0.21762818291162536,0.2533195934995189,0
377013_377015,377013,377015,0.8348788242869265,0.8817448684987144,0.8338485327821384,0.8539201980618918,0.8308267491309741,0.8094611000496621,0.8780090152705758,0.8553756793296416,0.8566742765119836,0.8536101611272616,0.8745716040963128,0.8924048948921535,0.8546104920031864,0
394616,394616,394619,0.06281407139347678,0.04962873900273765,0.028866295725318018,0.032523187766455214,0.0476004349677362,0.05466592105318987,0.04624434381509932,0.0352916061704372,0.054047977934589736,0.07328001640816399,0.06912211254213754,0.07886756736038054,0.05274602284497684,0
368967_368984,368967,368984,0.07126389106157378,0.02487892739336377,0.01562308542262036,0.03383331586518975,0.034948054559376704,0.028807415888404696,0.03967389661920851,0.03304496603883318,0.022667256798021833,0.02259929722585382,0.024816387748070576,0.017174195380610137,0.030777557500093925,0
392192_392196,392192,392196,0.006980016533444386,0.008469406620498448,0.006772802198644011,0.008924907153433723,0.020475948989731697,0.024006772733443565,0.023175147203720704,0.017587771601142617,0.041424842779451895,0.013595247119572188,0.018431619468999256,0.028971998832768832,0.018234706769570945,0
128843_144114,128843,144114,0.39793489161755474,0.30504587122546967,0.2762730118572965,0.2484833276169817,0.31414389398593284,0.2813903210767509,0.3629523136558204,0.3046941481796733,0.28736284318824185,0.22506065926169708,0.280171719754749,0.27989743817926427,0.2969508699666194,0
130290,130290,142436,0.4208932156544933,0.4224521641059851,0.35391704976992167,0.4643999516100793,0.40925528820156704,0.4304845539032933,0.4306265720415256,0.5327104116169611,0.3999251860540604,0.3481115068822754,0.3207334125792801,0.42569314673570113,0.4132668715962619,0
392060_392071,392060,392071,0.3634974150054002,0.3903233028581057,0.43273175965743865,0.45710033346936074,0.35786685424887804,0.4123621518273586,0.35618066672845594,0.3491025445219953,0.31080106333815427,0.45637743112677537,0.39320412628889806,0.5517889171263355,0.40261138051642975,0
